@RELATION game_ratings

@ATTRIBUTE Indie integer
@ATTRIBUTE Gore integer
@ATTRIBUTE Economy integer
@ATTRIBUTE Resource Management integer
@ATTRIBUTE Story Rich integer
@ATTRIBUTE RPG integer
@ATTRIBUTE Building integer
@ATTRIBUTE Choose Your Own Adventure integer
@ATTRIBUTE Adventure integer
@ATTRIBUTE Massively Multiplayer integer
@ATTRIBUTE Survival Horror integer
@ATTRIBUTE Great Soundtrack integer
@ATTRIBUTE JRPG integer
@ATTRIBUTE Souls_like integer
@ATTRIBUTE Sports integer
@ATTRIBUTE Metroidvania integer
@ATTRIBUTE Nudity integer
@ATTRIBUTE Western integer
@ATTRIBUTE Medieval integer
@ATTRIBUTE City Builder integer
@ATTRIBUTE Masterpiece integer
@ATTRIBUTE Fishing integer
@ATTRIBUTE Classic integer
@ATTRIBUTE Online Co_Op integer
@ATTRIBUTE Open World integer
@ATTRIBUTE Beautiful integer
@ATTRIBUTE Atmospheric integer
@ATTRIBUTE Competitive integer
@ATTRIBUTE Strategy integer
@ATTRIBUTE RTS integer
@ATTRIBUTE Sandbox integer
@ATTRIBUTE Violent integer
@ATTRIBUTE Realistic integer
@ATTRIBUTE Multiplayer integer
@ATTRIBUTE Magic integer
@ATTRIBUTE Minimalist integer
@ATTRIBUTE Funny integer
@ATTRIBUTE 3D integer
@ATTRIBUTE Female Protagonist integer
@ATTRIBUTE Puzzle integer
@ATTRIBUTE Anime integer
@ATTRIBUTE Third Person integer
@ATTRIBUTE Mystery integer
@ATTRIBUTE Space integer
@ATTRIBUTE Co_op integer
@ATTRIBUTE Sexual Content integer
@ATTRIBUTE Difficult integer
@ATTRIBUTE Star Wars integer
@ATTRIBUTE MMORPG integer
@ATTRIBUTE Point & Click integer
@ATTRIBUTE Sci_fi integer
@ATTRIBUTE Retro integer
@ATTRIBUTE Early Access integer
@ATTRIBUTE Survival integer
@ATTRIBUTE Addictive integer
@ATTRIBUTE Casual integer
@ATTRIBUTE Simulation integer
@ATTRIBUTE Visual Novel integer
@ATTRIBUTE Text_Based integer
@ATTRIBUTE Dark Humor integer
@ATTRIBUTE Action integer
@ATTRIBUTE Dark integer
@ATTRIBUTE Management integer
@ATTRIBUTE Hack and Slash integer
@ATTRIBUTE Post_apocalyptic integer
@ATTRIBUTE Free to Play integer
@ATTRIBUTE Fantasy integer
@ATTRIBUTE Real_Time integer
@ATTRIBUTE Exploration integer
@ATTRIBUTE Comedy integer
@ATTRIBUTE Singleplayer integer
@ATTRIBUTE Soccer integer
@ATTRIBUTE Family Friendly integer
@ATTRIBUTE Relaxing integer
@ATTRIBUTE Replay Value integer
@ATTRIBUTE RPGMaker integer
@ATTRIBUTE Horror integer
@ATTRIBUTE Inventory Management integer
@ATTRIBUTE Memes integer
@ATTRIBUTE Historical integer
@ATTRIBUTE Pixel Graphics integer
@ATTRIBUTE First_Person integer
@ATTRIBUTE Zombies integer
@ATTRIBUTE Trains integer
@ATTRIBUTE Real_Time with Pause integer
@ATTRIBUTE Football integer
@ATTRIBUTE Multiple Endings integer
@ATTRIBUTE rating { Mixed, Positive, Very Positive, Mostly Positive }
@data
1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, Mixed
1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Positive
1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Positive
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Mostly Positive
1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, Positive
1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, Mixed
1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Very Positive
0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Positive
0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, Very Positive
1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, Positive
0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Very Positive
